event_datetime,event_params__ga_session_id,event_name,event_params__ad_id,event_params__ad_unit_id,event_params__ad_network,event_params__ad_placement,event_params__ad_reward_type,event_params__ad_instance,event_params__ad_error_code,event_params__character_name,event_params__current_tier,event_params__current_question_index,question_address,ts_weekday,ts_daytime_named,app_info__version,geo__country,device__operating_system,event_server_delay_seconds
2025-12-21 19:31:33+00:00,10405.0,Ad Rewarded,57afd47034fa,rewarded_1,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Dax,2.0,9.0,Dax - T: 2 - Q: 9,Pazar,Akşam,1.0.5,United States,IOS,
2025-12-21 19:32:22+00:00,10405.0,Ad Rewarded,8deb706dd0f6,None,None,Unknown/Missing,Unknown/Missing,instance_a,,Cyra,4.0,2.0,Cyra - T: 4 - Q: 2,Pazar,Akşam,1.0.7,United States,IOS,
2025-12-21 19:33:40+00:00,10405.0,Ad Rewarded,203d9ae68b18,rewarded_1,admob,Unknown/Missing,Unknown/Missing,None,,Cyra,4.0,2.0,Cyra - T: 4 - Q: 2,Pazar,Akşam,1.0.6,United States,IOS,
2025-12-19 22:28:12+00:00,10107.0,Ad Rewarded,3b3aad68e5d1,None,None,Unknown/Missing,Unknown/Missing,instance_b,,Dax,4.0,11.0,Dax - T: 4 - Q: 11,Cuma,Akşam,1.0.7,United States,ANDROID,
2025-12-20 01:05:14+00:00,10106.0,Ad Rewarded,999f3a5a9865,rewarded_2,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Borin,4.0,11.0,Borin - T: 4 - Q: 11,Cumartesi,Gece,1.0.6,United States,ANDROID,
2025-12-20 01:05:57+00:00,10106.0,Ad Rewarded,69aa88c00f12,None,None,Unknown/Missing,Unknown/Missing,instance_a,,Dax,2.0,12.0,Dax - T: 2 - Q: 12,Cumartesi,Gece,1.0.7,United States,ANDROID,
2025-12-20 22:41:14+00:00,10108.0,Ad Rewarded,121b1e835321,rewarded_2,unity,Unknown/Missing,Unknown/Missing,None,,Borin,2.0,6.0,Borin - T: 2 - Q: 6,Cumartesi,Akşam,1.0.6,United States,ANDROID,
2025-12-18 05:26:21+00:00,10066.0,Ad Rewarded,bb77ca238bff,rewarded_1,unity,Unknown/Missing,Unknown/Missing,instance_a,,Astra,4.0,1.0,Astra - T: 4 - Q: 1,Perşembe,Gece,1.0.5,Türkiye,IOS,
2025-12-18 05:26:21+00:00,10066.0,Ad Rewarded,6ad3116c5cef,rewarded_1,unity,Unknown/Missing,Unknown/Missing,instance_b,,Astra,2.0,11.0,Astra - T: 2 - Q: 11,Perşembe,Gece,1.0.5,Türkiye,IOS,
2025-12-18 05:29:38+00:00,10066.0,Ad Rewarded,9466f581611c,rewarded_1,unity,Unknown/Missing,Unknown/Missing,instance_b,,Astra,4.0,11.0,Astra - T: 4 - Q: 11,Perşembe,Gece,1.0.5,Türkiye,IOS,
2025-12-18 05:30:23+00:00,10066.0,Ad Rewarded,4f69e03bed3c,None,None,Unknown/Missing,Unknown/Missing,instance_b,,Cyra,1.0,11.0,Cyra - T: 1 - Q: 11,Perşembe,Gece,1.0.6,Türkiye,IOS,
2025-12-21 00:17:37+00:00,10277.0,Ad Rewarded,6723a7b17793,None,admob,Unknown/Missing,Unknown/Missing,None,,Dax,2.0,10.0,Dax - T: 2 - Q: 10,Pazar,Gece,1.0.7,Türkiye,IOS,
2025-12-11 02:16:08+00:00,10579.0,Ad Rewarded,b76799ba7896,rewarded_2,unity,Unknown/Missing,Unknown/Missing,instance_b,,Dax,1.0,2.0,Dax - T: 1 - Q: 2,Perşembe,Gece,1.0.7,Türkiye,IOS,
2025-12-11 02:21:21+00:00,10579.0,Ad Rewarded,5de3f17c4b0c,rewarded_2,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Cyra,4.0,12.0,Cyra - T: 4 - Q: 12,Perşembe,Gece,1.0.5,Türkiye,IOS,
2025-12-22 17:39:21+00:00,10338.0,Ad Rewarded,f80ecd98df8a,rewarded_1,ironSource,Unknown/Missing,Unknown/Missing,None,,Astra,1.0,3.0,Astra - T: 1 - Q: 3,Pazartesi,Öğle,1.0.6,Türkiye,ANDROID,
