question_address,event_params__character_name,event_params__current_tier,event_params__current_question_index,event_params__ga_session_id,question_started,potions_bought,incense_bought,amulet_bought,alicin_used,coffee_used,cauldron_used,scroll_opened,answered_correct,answered_wrong,ads_watched,wrong_answer_ratio,ads_watch_ratio,alicin_use_ratio,coffee_use_ratio,cauldron_use_ratio,scroll_use_ratio
Astra - T: 1 - Q: 1,Astra,1.0,1.0,10035.0,1,0,0,0,1,0,0,0,1,2.0,0,2.0,0.0,1.0,0.0,0.0,0.0
Astra - T: 1 - Q: 1,Astra,1.0,1.0,10113.0,1,0,0,0,0,0,0,0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0
Astra - T: 1 - Q: 1,Astra,1.0,1.0,10205.0,1,0,0,0,0,0,0,0,1,2.0,1,2.0,1.0,0.0,0.0,0.0,0.0
Astra - T: 1 - Q: 1,Astra,1.0,1.0,10461.0,1,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Astra - T: 1 - Q: 1,Astra,1.0,1.0,10484.0,2,0,0,0,0,0,0,0,2,3.0,0,1.5,0.0,0.0,0.0,0.0,0.0
Astra - T: 1 - Q: 1,Astra,1.0,1.0,10519.0,1,1,0,0,0,0,0,0,1,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0
Astra - T: 1 - Q: 1,Astra,1.0,1.0,10551.0,1,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Astra - T: 1 - Q: 1,Astra,1.0,1.0,10590.0,1,0,0,0,0,0,0,0,1,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0
Astra - T: 1 - Q: 10,Astra,1.0,10.0,10051.0,1,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Astra - T: 1 - Q: 10,Astra,1.0,10.0,10153.0,1,0,0,0,0,0,0,0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0
Astra - T: 1 - Q: 10,Astra,1.0,10.0,10185.0,1,0,0,0,0,0,0,0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0
Astra - T: 1 - Q: 10,Astra,1.0,10.0,10284.0,1,1,0,0,0,0,0,1,1,2.0,0,2.0,0.0,0.0,0.0,0.0,1.0
Astra - T: 1 - Q: 10,Astra,1.0,10.0,10309.0,1,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Astra - T: 1 - Q: 10,Astra,1.0,10.0,10358.0,1,0,0,0,0,0,1,0,1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0
