event_timestamp,event_name,user_pseudo_id,event_params__ga_session_id,event_datetime,event_date,event_time,ts_weekday,ts_daytime_named,ts_is_weekend,app_info__version,geo__country,device__operating_system,session_duration_seconds,session_duration_minutes,session_start_time,session_end_time,event_params__character_name,event_params__current_tier,event_params__current_question_index,cumulative_question_index,event_params__answered_wrong,question_address,event_params__menu_name,event_params__spent_to,shop_consumable_item,event_params__currency_name,event_params__earned_amount,event_params__spent_amount,event_params__gold,event_params__mini_game_ri,event_params__ad_network,event_params__ad_unit_id,event_params__ad_instance,event_params__ad_id,event_params__ad_error_code,event_server_delay_seconds,device__mobile_marketing_name,device__operating_system_version,event_params__pp_accepted,event_params__video_start,event_params__video_finished,event_params__entered,event_params__shown,event_params__opened,event_params__return,event_params__closed,event_params__drag,event_params__tutorial_video
1766328000000000,First Open,014a9f71a65bcf12833b30a9495f7e3c,,2025-12-21 14:40:00+00:00,2025-12-21 00:00:00+00:00,14:40:00,Pazar,Öğle,Hafta Sonu,1.0.7,United States,IOS,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,true,false,false,,,,,,,tutorial_video
1766345160000000,Session Started,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:26:00+00:00,2025-12-21 00:00:00+00:00,19:26:00,Pazar,Akşam,Hafta Sonu,1.0.5,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,false,true,false,true,
1766345161000000,Starting Currencies,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:26:01+00:00,2025-12-21 00:00:00+00:00,19:26:01,Pazar,Akşam,Hafta Sonu,1.0.7,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,,,,,,,,,,,,,112.0,,,,,,,,,,,,,,,,,,,
1766345169000000,Question Started,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:26:09+00:00,2025-12-21 00:00:00+00:00,19:26:09,Pazar,Akşam,Hafta Sonu,1.0.6,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Cyra,4.0,8.0,48.0,,Cyra - T: 4 - Q: 8,,,,,,,,,,,,,,,,,,,,,,,,,,
1766345172000000,Question Completed,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:26:12+00:00,2025-12-21 00:00:00+00:00,19:26:12,Pazar,Akşam,Hafta Sonu,1.0.5,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Cyra,4.0,8.0,48.0,0.0,Cyra - T: 4 - Q: 8,,,,,,,,,,,,,,,,,,,,,,,,,,
1766345330000000,Question Started,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:28:50+00:00,2025-12-21 00:00:00+00:00,19:28:50,Pazar,Akşam,Hafta Sonu,1.0.5,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Dax,4.0,8.0,48.0,,Dax - T: 4 - Q: 8,,,,,,,,,,,,,,,,,,,,,,,,,,
1766345333000000,Question Completed,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:28:53+00:00,2025-12-21 00:00:00+00:00,19:28:53,Pazar,Akşam,Hafta Sonu,1.0.7,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Dax,4.0,8.0,48.0,0.0,Dax - T: 4 - Q: 8,,,,,,,,,,,,,,,,,,,,,,,,,,
1766345491000000,Question Started,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:31:31+00:00,2025-12-21 00:00:00+00:00,19:31:31,Pazar,Akşam,Hafta Sonu,1.0.5,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Dax,2.0,9.0,25.0,,Dax - T: 2 - Q: 9,,,,,,,,,,,,,,,,,,,,,,,,,,
1766345493000000,Ad Rewarded,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:31:33+00:00,2025-12-21 00:00:00+00:00,19:31:33,Pazar,Akşam,Hafta Sonu,1.0.5,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Dax,2.0,9.0,25.0,,Dax - T: 2 - Q: 9,,,,,,,,,ironSource,rewarded_1,instance_a,57afd47034fa,,,,,,,,,,,,,,
1766345494000000,Question Completed,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:31:34+00:00,2025-12-21 00:00:00+00:00,19:31:34,Pazar,Akşam,Hafta Sonu,1.0.6,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Dax,2.0,9.0,25.0,2.0,Dax - T: 2 - Q: 9,,,,,,,,,,,,,,,,,,,,,,,,,,
1766345495000000,Spent Virtual Currency,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:31:35+00:00,2025-12-21 00:00:00+00:00,19:31:35,Pazar,Akşam,Hafta Sonu,1.0.6,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Dax,2.0,9.0,25.0,,Dax - T: 2 - Q: 9,,Kettle,,Gold,,62.0,,,,,,,,,,,,,,,,,,,,
1766345540000000,Question Started,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:32:20+00:00,2025-12-21 00:00:00+00:00,19:32:20,Pazar,Akşam,Hafta Sonu,1.0.6,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Cyra,4.0,2.0,42.0,,Cyra - T: 4 - Q: 2,,,,,,,,,,,,,,,,,,,,,,,,,,
1766345542000000,Ad Rewarded,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:32:22+00:00,2025-12-21 00:00:00+00:00,19:32:22,Pazar,Akşam,Hafta Sonu,1.0.7,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Cyra,4.0,2.0,42.0,,Cyra - T: 4 - Q: 2,,,,,,,,,None,None,instance_a,8deb706dd0f6,,,,,,,,,,,,,,
1766345543000000,Question Completed,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:32:23+00:00,2025-12-21 00:00:00+00:00,19:32:23,Pazar,Akşam,Hafta Sonu,1.0.5,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Cyra,4.0,2.0,42.0,1.0,Cyra - T: 4 - Q: 2,,,,,,,,,,,,,,,,,,,,,,,,,,
1766345587000000,Question Started,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:33:07+00:00,2025-12-21 00:00:00+00:00,19:33:07,Pazar,Akşam,Hafta Sonu,1.0.5,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Dax,3.0,2.0,30.0,,Dax - T: 3 - Q: 2,,,,,,,,,,,,,,,,,,,,,,,,,,
1766345590000000,Question Completed,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:33:10+00:00,2025-12-21 00:00:00+00:00,19:33:10,Pazar,Akşam,Hafta Sonu,1.0.7,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Dax,3.0,2.0,30.0,0.0,Dax - T: 3 - Q: 2,,,,,,,,,,,,,,,,,,,,,,,,,,
1766345618000000,Question Started,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:33:38+00:00,2025-12-21 00:00:00+00:00,19:33:38,Pazar,Akşam,Hafta Sonu,1.0.6,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Cyra,4.0,2.0,42.0,,Cyra - T: 4 - Q: 2,,,,,,,,,,,,,,,,,,,,,,,,,,
1766345620000000,Ad Rewarded,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:33:40+00:00,2025-12-21 00:00:00+00:00,19:33:40,Pazar,Akşam,Hafta Sonu,1.0.6,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Cyra,4.0,2.0,42.0,,Cyra - T: 4 - Q: 2,,,,,,,,,admob,rewarded_1,None,203d9ae68b18,,,,,,,,,,,,,,
1766345621000000,Question Completed,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:33:41+00:00,2025-12-21 00:00:00+00:00,19:33:41,Pazar,Akşam,Hafta Sonu,1.0.7,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Cyra,4.0,2.0,42.0,2.0,Cyra - T: 4 - Q: 2,,,,,,,,,,,,,,,,,,,,,,,,,,
1766345622000000,Spent Virtual Currency,014a9f71a65bcf12833b30a9495f7e3c,10405.0,2025-12-21 19:33:42+00:00,2025-12-21 00:00:00+00:00,19:33:42,Pazar,Akşam,Hafta Sonu,1.0.6,United States,IOS,489.0,8.15,2025-12-21 19:26:00+00:00,2025-12-21 19:34:09+00:00,Cyra,4.0,2.0,42.0,,Cyra - T: 4 - Q: 2,,Kettle,,Gold,,19.0,,,,,,,,,,,,,,,,,,,,
